SELECTED_ASOS_ID,CLIENT,FACILITY_NAME,WSPP7_AM,I24P7_AM,WSPP2_PM,WSPP7_PM,G24P2_PM,G24P5_PM,Q24P5_AM,Q24P2_AM,I24P2_AM,WSPP5_AM,TXNMN_AM,Q24P1_AM,S24P7_AM,TXNP9_PM,S24P2_AM,TXNP5_AM,W24P5_PM,TXNMN_PM,TXNP5_PM,S24P1_AM,I24P1_AM,W24P7_PM,WSPP9_PM,WSPP2_AM,G24P7_PM,I24P5_AM,TXNP1_AM,WSPP9_AM,Q24P9_AM,W24P2_PM,WSPP1_PM,W24P1_PM,S24P5_AM,TXNP2_AM,W24P9_PM,G24P1_PM,SITE,DATE,Q24P7_AM,TXNP9_AM,I24P9_AM,TXNP7_AM,WSPP5_PM,WSPP1_AM,TXNP2_PM,S24P9_AM,TXNP1_PM,G24P9_PM,TXNP7_PM
RDU,EsteMauder,Greenwood Research Lab,10,,6,8,24,26,,,,8,65,,,91,,64,15,88,88,,,16,10,8,29,,63,10,,14,6,13,,64,17,22,RDU,2025-04-03,,68,,66,8,8,86,,84,31,90
RDU,EsteMauder,Greenwood Research Lab,8,0,6,6,21,23,0,0,0,8,67,0,0,94,0,67,13,91,91,0,0,14,8,6,25,0,64,10,0.02,12,4,11,0,65,16,19,RDU,2025-04-04,0,71,0,68,6,6,89,0,87,28,93
RDU,EsteMauder,Greenwood Research Lab,8,0,8,10,24,26,0,0,0,8,66,0,0,94,0,66,15,91,91,0,0,16,12,6,28,0,63,10,0.04,14,6,13,0,65,17,21,RDU,2025-04-05,0,69,0,68,8,4,90,0,89,31,92
RDU,EsteMauder,Greenwood Research Lab,12,0,10,12,30,33,0,0,0,12,66,0,0,93,0,66,18,91,91,0,0,20,14,10,36,0,64,14,0,17,8,16,0,65,21,27,RDU,2025-04-06,0,69,0,67,10,8,90,0,88,41,93
RDU,EsteMauder,Greenwood Research Lab,10,0,4,8,19,24,0.38,0.11,0,8,61,0,0,81,0,62,14,74,73,0,0,16,10,6,27,0,55,10,1.3,12,4,11,0,58,18,17,RDU,2025-04-07,0.75,66,0,64,6,4,70,0,67,32,77
RDU,EsteMauder,Greenwood Research Lab,10,0,4,10,20,24,0.31,0,0,8,46,0,0,71,0,47,14,62,61,0,0,16,10,6,27,0,40,12,1.73,13,4,11,0,44,17,17,RDU,2025-04-08,1.01,53,0,49,6,6,58,0,55,31,66
RDU,EsteMauder,Greenwood Research Lab,8,0,4,6,14,17,0,0,0,6,39,0,0,74,0,38,10,64,62,0,0,13,6,4,21,0,34,10,0,9,2,8,0,36,15,11,RDU,2025-04-09,0,43,0,40,4,4,58,0,56,26,67
RDU,EsteMauder,Greenwood Research Lab,6,0,4,8,14,18,0,0,0,4,42,0,0,79,0,42,11,71,70,0,0,13,10,4,22,0,36,8,0,9,2,8,0,39,15,11,RDU,2025-04-10,0,49,0,45,6,2,67,0,61,25,75
RDU,EsteMauder,Greenwood Research Lab,8,0,6,10,17,20,0,0,0,6,48,0,0,80,0,48,12,73,74,0,0,15,12,4,24,0,41,10,0.19,11,4,9,0,45,16,14,RDU,2025-04-11,0,53,0,51,6,2,69,0,64,28,78
MIA,EsteMauder,Silver Creek Power Plant,14,,14,16,27,29,,,,14,76,,,86,,76,18,85,85,,,19,16,12,31,,74,14,,17,12,16,,75,20,26,MIA,2025-04-03,,78,,77,14,10,84,,83,33,85
MIA,EsteMauder,Silver Creek Power Plant,14,0,12,14,26,28,0,0,0,12,75,0,0,86,0,75,17,85,85,0,0,18,16,12,29,0,73,14,0,16,12,15,0,74,19,25,MIA,2025-04-04,0,76,0,76,14,10,84,0,84,31,85
MIA,EsteMauder,Silver Creek Power Plant,14,0,10,14,25,27,0,0,0,14,75,0,0,86,0,75,17,85,85,0,0,18,14,12,29,0,73,16,0,16,10,15,0,74,18,25,MIA,2025-04-05,0,76,0,76,12,10,84,0,84,30,86
MIA,EsteMauder,Silver Creek Power Plant,12,0,10,12,23,24,0,0,0,12,75,0,0,88,0,75,15,86,86,0,0,16,12,10,26,0,73,14,0,13,10,13,0,74,17,21,MIA,2025-04-06,0,76,0,76,10,8,85,0,85,28,87
MIA,EsteMauder,Silver Creek Power Plant,12,0,10,12,22,24,0,0,0,10,75,0,0,89,0,74,14,87,87,0,0,16,12,8,25,0,73,12,0,13,10,12,0,74,17,20,MIA,2025-04-07,0,77,0,76,10,8,86,0,86,27,88
