SELECTED_ASOS_ID,CLIENT,FACILITY_NAME,I06,S06,FORECAST_TIME,Q06,SITE,P06
RDU,EsteMauder,Greenwood Research Lab,0,0,1743660391095784000,0,RDU,10
RDU,EsteMauder,Greenwood Research Lab,0,0,1743681991095784000,0,RDU,20
RDU,EsteMauder,Greenwood Research Lab,0,0,1743703591095784000,0,RDU,2
RDU,EsteMauder,Greenwood Research Lab,0,0,1743725191095784000,0,RDU,13
RDU,EsteMauder,Greenwood Research Lab,0,0,1743746791095784000,0,RDU,1
RDU,EsteMauder,Greenwood Research Lab,0,0,1743768391095784000,0,RDU,1
RDU,EsteMauder,Greenwood Research Lab,0,0,1743789991095784000,0,RDU,0
RDU,EsteMauder,Greenwood Research Lab,0,0,1743811591095784000,0,RDU,4
RDU,EsteMauder,Greenwood Research Lab,0,0,1743833191095784000,0,RDU,8
RDU,EsteMauder,Greenwood Research Lab,0,0,1743854791095784000,0,RDU,2
RDU,EsteMauder,Greenwood Research Lab,0,0,1743876391095784000,0,RDU,0
MIA,EsteMauder,Silver Creek Power Plant,0,0,1743660391095784000,0,MIA,3
MIA,EsteMauder,Silver Creek Power Plant,0,0,1743681991095784000,0,MIA,2
MIA,EsteMauder,Silver Creek Power Plant,0,0,1743703591095784000,0,MIA,3
MIA,EsteMauder,Silver Creek Power Plant,0,0,1743725191095784000,0,MIA,2
MIA,EsteMauder,Silver Creek Power Plant,0,0,1743746791095784000,0,MIA,1
MIA,EsteMauder,Silver Creek Power Plant,0,0,1743768391095784000,0,MIA,0
MIA,EsteMauder,Silver Creek Power Plant,0,0,1743789991095784000,0,MIA,2
MIA,EsteMauder,Silver Creek Power Plant,0,0,1743811591095784000,0,MIA,2
MIA,EsteMauder,Silver Creek Power Plant,0,0,1743833191095784000,0,MIA,0
MIA,EsteMauder,Silver Creek Power Plant,0,0,1743854791095784000,0,MIA,0
MIA,EsteMauder,Silver Creek Power Plant,0,0,1743876391095784000,0,MIA,0
SPI,EsteMauder,Cedar Valley Distribution,0,0,1743660391095784000,0,SPI,22
SPI,EsteMauder,Coastal Fisheries HQ,0,0,1743660391095784000,0,SPI,22
SPI,EsteMauder,Cedar Valley Distribution,0,0,1743681991095784000,0,SPI,1
SPI,EsteMauder,Coastal Fisheries HQ,0,0,1743681991095784000,0,SPI,1
SPI,EsteMauder,Cedar Valley Distribution,0,0,1743703591095784000,0,SPI,5
SPI,EsteMauder,Coastal Fisheries HQ,0,0,1743703591095784000,0,SPI,5
SPI,EsteMauder,Cedar Valley Distribution,0,0,1743725191095784000,4,SPI,40
SPI,EsteMauder,Coastal Fisheries HQ,0,0,1743725191095784000,4,SPI,40
SPI,EsteMauder,Cedar Valley Distribution,0,0,1743746791095784000,21,SPI,41
SPI,EsteMauder,Coastal Fisheries HQ,0,0,1743746791095784000,21,SPI,41
SPI,EsteMauder,Cedar Valley Distribution,0,0,1743768391095784000,6,SPI,22
SPI,EsteMauder,Coastal Fisheries HQ,0,0,1743768391095784000,6,SPI,22
SPI,EsteMauder,Cedar Valley Distribution,0,0,1743789991095784000,6,SPI,34
SPI,EsteMauder,Coastal Fisheries HQ,0,0,1743789991095784000,6,SPI,34
SPI,EsteMauder,Cedar Valley Distribution,0,0,1743811591095784000,52,SPI,89
SPI,EsteMauder,Coastal Fisheries HQ,0,0,1743811591095784000,52,SPI,89
SPI,EsteMauder,Cedar Valley Distribution,0,0,1743833191095784000,101,SPI,96
SPI,EsteMauder,Coastal Fisheries HQ,0,0,1743833191095784000,101,SPI,96
SPI,EsteMauder,Cedar Valley Distribution,0,0,1743854791095784000,26,SPI,78
SPI,EsteMauder,Coastal Fisheries HQ,0,0,1743854791095784000,26,SPI,78
SPI,EsteMauder,Cedar Valley Distribution,0,0,1743876391095784000,13,SPI,61
SPI,EsteMauder,Coastal Fisheries HQ,0,0,1743876391095784000,13,SPI,61
CQT,EsteMauder,Starview Aerospace Facility,0,0,1743660391095784000,0,CQT,1
CQT,EsteMauder,Starview Aerospace Facility,0,0,1743681991095784000,0,CQT,1
CQT,EsteMauder,Starview Aerospace Facility,0,0,1743703591095784000,0,CQT,2
CQT,EsteMauder,Starview Aerospace Facility,0,0,1743725191095784000,0,CQT,20
CQT,EsteMauder,Starview Aerospace Facility,0,0,1743746791095784000,0,CQT,3
CQT,EsteMauder,Starview Aerospace Facility,0,0,1743768391095784000,0,CQT,0
CQT,EsteMauder,Starview Aerospace Facility,0,0,1743789991095784000,0,CQT,0
CQT,EsteMauder,Starview Aerospace Facility,0,0,1743811591095784000,0,CQT,0
CQT,EsteMauder,Starview Aerospace Facility,0,0,1743833191095784000,0,CQT,0
CQT,EsteMauder,Starview Aerospace Facility,0,0,1743854791095784000,0,CQT,0
CQT,EsteMauder,Starview Aerospace Facility,0,0,1743876391095784000,0,CQT,0
SFF,EsteMauder,Redwood Aviation Complex,0,0,1743660391095784000,0,SFF,17
SFF,EsteMauder,Redwood Aviation Complex,0,0,1743681991095784000,0,SFF,11
SFF,EsteMauder,Redwood Aviation Complex,0,0,1743703591095784000,0,SFF,11
SFF,EsteMauder,Redwood Aviation Complex,0,0,1743725191095784000,0,SFF,20
SFF,EsteMauder,Redwood Aviation Complex,0,0,1743746791095784000,0,SFF,5
SFF,EsteMauder,Redwood Aviation Complex,0,0,1743768391095784000,0,SFF,0
SFF,EsteMauder,Redwood Aviation Complex,0,0,1743789991095784000,0,SFF,0
SFF,EsteMauder,Redwood Aviation Complex,0,0,1743811591095784000,0,SFF,0
SFF,EsteMauder,Redwood Aviation Complex,0,0,1743833191095784000,0,SFF,0
SFF,EsteMauder,Redwood Aviation Complex,0,0,1743854791095784000,0,SFF,0
SFF,EsteMauder,Redwood Aviation Complex,0,0,1743876391095784000,0,SFF,0
TPF,EsteMauder,Summerset Cold Storage,0,0,1743660391095784000,0,TPF,15
TPF,EsteMauder,Summerset Cold Storage,0,0,1743681991095784000,0,TPF,0
TPF,EsteMauder,Summerset Cold Storage,0,0,1743703591095784000,0,TPF,0
TPF,EsteMauder,Summerset Cold Storage,0,0,1743725191095784000,0,TPF,4
TPF,EsteMauder,Summerset Cold Storage,0,0,1743746791095784000,0,TPF,4
TPF,EsteMauder,Summerset Cold Storage,0,0,1743768391095784000,0,TPF,0
TPF,EsteMauder,Summerset Cold Storage,0,0,1743789991095784000,0,TPF,0
TPF,EsteMauder,Summerset Cold Storage,0,0,1743811591095784000,0,TPF,2
TPF,EsteMauder,Summerset Cold Storage,0,0,1743833191095784000,0,TPF,2
TPF,EsteMauder,Summerset Cold Storage,0,0,1743854791095784000,0,TPF,1
TPF,EsteMauder,Summerset Cold Storage,0,0,1743876391095784000,0,TPF,0
CLT,EsteMauder,Everest Industrial Plant,0,0,1743660391095784000,6,CLT,41
CLT,EsteMauder,Everest Industrial Plant,0,0,1743681991095784000,1,CLT,9
CLT,EsteMauder,Everest Industrial Plant,0,0,1743703591095784000,0,CLT,4
CLT,EsteMauder,Everest Industrial Plant,0,0,1743725191095784000,10,CLT,16
CLT,EsteMauder,Everest Industrial Plant,0,0,1743746791095784000,0,CLT,2
CLT,EsteMauder,Everest Industrial Plant,0,0,1743768391095784000,0,CLT,0
CLT,EsteMauder,Everest Industrial Plant,0,0,1743789991095784000,0,CLT,0
CLT,EsteMauder,Everest Industrial Plant,0,0,1743811591095784000,0,CLT,10
CLT,EsteMauder,Everest Industrial Plant,0,0,1743833191095784000,0,CLT,3
CLT,EsteMauder,Everest Industrial Plant,0,0,1743854791095784000,0,CLT,1
CLT,EsteMauder,Everest Industrial Plant,0,0,1743876391095784000,0,CLT,0
SVN,EsteMauder,Horizon Tech Park,0,0,1743660391095784000,0,SVN,1
SVN,EsteMauder,Lakeside Processing Facility,0,0,1743660391095784000,0,SVN,1
SVN,EsteMauder,Horizon Tech Park,0,0,1743681991095784000,0,SVN,0
SVN,EsteMauder,Lakeside Processing Facility,0,0,1743681991095784000,0,SVN,0
SVN,EsteMauder,Horizon Tech Park,0,0,1743703591095784000,0,SVN,0
SVN,EsteMauder,Lakeside Processing Facility,0,0,1743703591095784000,0,SVN,0
SVN,EsteMauder,Horizon Tech Park,0,0,1743725191095784000,0,SVN,1
SVN,EsteMauder,Lakeside Processing Facility,0,0,1743725191095784000,0,SVN,1
SVN,EsteMauder,Horizon Tech Park,0,0,1743746791095784000,0,SVN,0
SVN,EsteMauder,Lakeside Processing Facility,0,0,1743746791095784000,0,SVN,0
SVN,EsteMauder,Horizon Tech Park,0,0,1743768391095784000,0,SVN,0
SVN,EsteMauder,Lakeside Processing Facility,0,0,1743768391095784000,0,SVN,0
SVN,EsteMauder,Horizon Tech Park,0,0,1743789991095784000,0,SVN,0
SVN,EsteMauder,Lakeside Processing Facility,0,0,1743789991095784000,0,SVN,0
SVN,EsteMauder,Horizon Tech Park,0,0,1743811591095784000,0,SVN,1
SVN,EsteMauder,Lakeside Processing Facility,0,0,1743811591095784000,0,SVN,1
SVN,EsteMauder,Horizon Tech Park,0,0,1743833191095784000,0,SVN,0
SVN,EsteMauder,Lakeside Processing Facility,0,0,1743833191095784000,0,SVN,0
SVN,EsteMauder,Horizon Tech Park,0,0,1743854791095784000,0,SVN,0
SVN,EsteMauder,Lakeside Processing Facility,0,0,1743854791095784000,0,SVN,0
